N;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
30;Кагор, ликерное вино 2015;Ликерное;4623722020994;Inkerman;;2019;2015;Сладкое;Красное;540;075;83.1;4.1550;https://rskrf.ru//goods/kagor-likernoe-vino-2015/
31;Мускат розовый десертный, ликерное вино 2011;Ликерное;4623722021014;Inkerman;;2019;2011;Сладкое;Розовое;614;075;82.8;4.1400;https://rskrf.ru//goods/muskat-rozovyy-desertnyy-likernoe-vino-2011/
32;Кагор серии Бухта Омега, винный напиток сладкий  ;Ликерное;4623721616358;Захарьин;;2019;Без указания года;Сладкое;Красное;495;075;82.66;4.1330;https://rskrf.ru//goods/kagor-serii-bukhta-omega-vinnyy-napitok-sladkiy-/
33;Портвейн белый Крымский, ликерное вино с ЗГУ «Крым», выдержанное белое 2012;Ликерное;4680017724401;Массандра;;2019;2012;Сладкое;Белое;393;075;82.4;4.1200;https://rskrf.ru//goods/portveyn-belyy-krymskiy-likernoe-vino-s-zgu-krym-vyderzhannoe-beloe-2012/
34;Мадера Массандра, ликерное вино с ЗГУ «Крым» (специальное вино), выдержанное белое 2013;Ликерное;4680017723787;Массандра;;2019;2013;Сладкое;Белое;641;075;82.3;4.1150;https://rskrf.ru//goods/madera-massandra-likernoe-vino-s-zgu-krym-spetsialnoe-vino-vyderzhannoe-beloe-2013/
35;Inkerman Портвейн белый Крымский ;Ликерное;4623722021038;Inkerman;"ООО ""Инкерманский завод марочных вин""";2020;Без указания года;Сладкое;Белое;801;075;82.23;4.1115;https://rskrf.ru//goods/inkerman-portveyn-belyy-krymskiy-/
36;Портвейн красный Крымский 2011;Ликерное;4680017724104;Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2011;;Красное;499;075;82.23;4.1115;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-vyderzhannoe-krasno/
37;Портвейн белый Южнобережный  2013;Ликерное;4680017724081;Портвейн белый Южнобережный - Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2013;;Белое;440;075;82.23;4.1115;https://rskrf.ru//goods/portveyn-belyy-yuzhno-berezhnyy-likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spets/
38;Кагор Партенит 2015;Ликерное;4680017723695;Кагор Партенит - Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2015;;Красное;419;075;82.22;4.1110;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-krasnoe-kagor-parte/
39;Массандра Мадера, ликерное вино с ЗГУ «Крым» (специальное вино) выдержанное белое 2014;Ликерное;4680017723787;Массандра;"ГУП Республики Крым ""Производственно-аграрное объединение ""Массандра""";2020;2014;Сладкое;Белое;545;075;82.12;4.1060;https://rskrf.ru//goods/massandra-madera-likernoe-vino-s-zgu-krym-spetsialnoe-vino-vyderzhannoe-beloe-2014/
40;Портвейн красный Ливадия  2012;Ликерное;4680017724111;Портвейн красный Ливадия - Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2012;;Красное;513;075;81.71;4.0855;https://rskrf.ru//goods/portveyn-krasnyy-livadiya-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-vyderzh/
41;Портвейн розовый Алушта 2014;Ликерное;4680017724142;Портвейн розовый Алушта - Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2014;;Розовое;387;075;81.6;4.0800;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-rozovoe-portveyn-ro/
42;Кагор ВК, вино ликерное с ЗГУ «Крым» специальное красное ;Ликерное;4680020411565;Коктебель;;2019;Без указания года;Сладкое;Красное;439;075;81.57;4.0785;https://rskrf.ru//goods/kagor-vk-vino-likernoe-s-zgu-krym-spetsialnoe-krasnoe-/
43;Херес Массандра, ликерное вино с ЗГУ «Крым» (специальное вино), выдержанное белое 2012;Ликерное;4680017724289;Массандра;;2019;2012;Сладкое;Белое;669;075;81.54;4.0770;https://rskrf.ru//goods/kheres-massandra-likernoe-vino-s-zgu-krym-spetsialnoe-vino-vyderzhannoe-beloe-2012/
44;Мускат десертный, Крымский Парус, вино специальное с ЗГУ «Крым», розовое 2016;Ликерное;4680020411527;Коктебель;;2019;2016;Сладкое;Розовое;444;075;81.45;4.0725;https://rskrf.ru//goods/muskat-desertnyy-krymskiy-parus-vino-spetsialnoe-s-zgu-krym-rozovoe-2016/
